artist,avg_pop,avg_duration,avg_temp,avg_energy,avg_danceability,avg_loudness,avg_speechiness,avg_instrumentalness,avg_acousticness,avg_liveness,avg_valence,rating_np,rating_ps,rating_pk,rating_hi,rating_svm
JUNE,41,225905,99.47,0.7,0.64,-4.35,0.08,0,0.27,0.12,0.63,,,,,
July,27,190066,130.81,0.54,0.43,-9.58,0.04,0.66,0.71,0.12,0.24,,,,,
August,45,144053,122.95,0.58,0.89,-7.49,0.13,0,0.29,0.24,0.49,,,,,
September,34,211804,129.6,0.77,0.66,-5.2,0.03,0,0.12,0.18,0.71,,,,,
Wednesday,29,220510,120.19,0.58,0.32,-8.31,0.04,0.35,0.22,0.23,0.29,,,,,
Thursday,27,240207,139.11,0.82,0.31,-5.18,0.07,0.17,0.01,0.21,0.29,,,,,
$LOTHBOI,29,132017,112.65,0.7,0.54,-7.14,0.04,0.04,0.07,0.37,0.29,,,,,
$NOT,58,154036,114.94,0.56,0.77,-8.54,0.26,0.02,0.36,0.16,0.47,,,,,
$uicideboy$,54,153171,124.29,0.66,0.76,-6.6,0.14,0.03,0.14,0.23,0.35,,,,,6
&ME,29,435831,120.81,0.75,0.75,-9.12,0.05,0.7,0.01,0.1,0.36,,,,,
(DOLCH),27,292229,121.74,0.55,0.29,-12.25,0.05,0.46,0.13,0.15,0.11,,,,,
(Hed) P.E.,24,220459,126.97,0.82,0.57,-6.46,0.13,0.02,0.03,0.26,0.53,,,,,
*NSYNC,37,228590,122.06,0.79,0.69,-5.55,0.06,0,0.12,0.2,0.72,,,,,4
...And Oceans,23,282343,119.38,0.84,0.22,-10.19,0.07,0.56,0,0.23,0.12,,,,,
...And You Will Know Us by the Trail of Dead,26,239990,133.61,0.8,0.27,-6.47,0.07,0.23,0.08,0.32,0.27,,,,,
.anxious.,38,123745,103.92,0.12,0.61,-18.96,0.08,0.77,0.84,0.14,0.27,,,,,
.Sinh,41,114916,117.35,0.28,0.69,-13.35,0.07,0.8,0.59,0.09,0.49,,,,,
:Of The Wand And The Moon:,21,290211,110.64,0.61,0.32,-7.79,0.03,0.85,0.29,0.17,0.31,,,,,
:Wumpscut:,21,300465,123.18,0.88,0.49,-5.4,0.05,0.28,0.02,0.21,0.31,,,,,
? & The Mysterians,40,176866,123.67,0.56,0.65,-5.97,0.03,0,0.06,0.08,0.88,,,,,
¿Téo?,49,174944,121.18,0.57,0.66,-9.5,0.11,0.11,0.35,0.15,0.47,,,,,5
「Story of Hope」,23,234932,139.16,0.94,0.32,-1.27,0.1,0,0,0.3,0.28,,,,,
€URO TRA$H,37,222101,128.09,0.77,0.79,-6.3,0.06,0.36,0.05,0.08,0.53,,,,,
44,37,237413,144.74,0.81,0.45,-5.14,0.05,0,0.01,0.19,0.37,,,,,
</body>,24,104218,113.39,0.56,0.65,-12.55,0.04,0.85,0.11,0.17,0.61,,,,,
µ-Ziq,33,264022,141.5,0.6,0.5,-9.93,0.04,0.86,0.29,0.11,0.29,,,,,
✦ pink cig ✦,39,174774,111.47,0.45,0.54,-10.41,0.06,0,0.31,0.13,0.25,,,,,
47,27,256440,126.01,0.82,0.73,-6.31,0.05,0.9,0.03,0.19,0.78,,,,,
1.Cuz,50,163250,118.8,0.58,0.8,-7.78,0.18,0,0.39,0.24,0.67,,,,,
10 Ft. Ganja Plant,28,236090,111.28,0.56,0.76,-8.02,0.07,0.4,0.11,0.13,0.76,,,,,
10 Years,34,225477,138.85,0.82,0.41,-4.94,0.06,0.03,0.02,0.19,0.38,,,,,
100 Demons,20,165484,111.16,0.93,0.26,-5.21,0.1,0.01,0,0.26,0.22,,,,,
100 Kilo Herz,17,182791,109.13,0.66,0.58,-10.6,0.04,0,0.01,0.33,0.61,,,,,
1000 Homo DJs,29,358480,123.32,0.99,0.58,-7.57,0.04,0.32,0,0.12,0.31,,,,,
1000mods,26,336085,130.31,0.78,0.31,-7.59,0.05,0.34,0.01,0.2,0.25,,,,,
108,19,116693,101.78,0.76,0.44,-9.6,0.06,0.61,0,0.26,0.46,,,,,
10cc,32,235619,131.99,0.62,0.5,-9.41,0.07,0.01,0.29,0.18,0.57,,,,,
10cm,51,199280,99.23,0.44,0.67,-6.57,0.05,0,0.41,0.13,0.51,,,,,
10-FEET,41,317373,112.87,0.88,0.44,-4.35,0.09,0.03,0,0.3,0.33,,,,,
10Tik,30,191990,113.99,0.6,0.63,-6.67,0.26,0,0.46,0.15,0.46,,,,,
11 Acorn Lane,34,181720,119.34,0.81,0.82,-4.51,0.08,0.2,0.02,0.22,0.89,,,,,
11:11,43,211418,97.94,0.48,0.57,-8.87,0.07,0.01,0.14,0.1,0.24,,,,,
112,33,249583,114.31,0.59,0.72,-6.52,0.12,0,0.11,0.12,0.57,,,,,
116,33,249434,97.97,0.79,0.68,-6.4,0.17,0,0.14,0.28,0.47,,,,,
11th Hour,22,197031,129.39,0.5,0.58,-7.02,0.04,0,0.52,0.14,0.46,,,,,
12 Stones,29,214411,146.94,0.86,0.43,-4.44,0.07,0,0.05,0.17,0.43,,,,,
125 Rue Montmartre,33,194325,151.25,0.57,0.45,-12.05,0.05,0.73,0.03,0.16,0.29,,,,,
12th Planet,28,199679,124.77,0.94,0.56,-2.47,0.21,0.13,0.01,0.29,0.27,,,,,
13,23,188930,147.56,0.8,0.66,-4.08,0.2,0.55,0.01,0.22,0.25,,,,,
1349,20,320479,127.48,0.94,0.22,-7.13,0.12,0.8,0,0.19,0.1,,,,,
13th Chime,21,244077,135.3,0.83,0.41,-10.32,0.06,0.5,0.48,0.17,0.53,,,,,
13th Floor Elevators,25,235161,128.34,0.73,0.45,-6.87,0.05,0.18,0.11,0.13,0.61,,,,,
156/Silence,26,205770,126.56,0.92,0.45,-4.6,0.09,0.66,0,0.31,0.21,,,,,
16 Horsepower,24,218224,132.61,0.67,0.47,-7.78,0.04,0.05,0.27,0.59,0.47,,,,,
16B,18,549000,126.98,0.92,0.62,-6.03,0.04,0.87,0,0.09,0.34,,,,,
16BL,24,402119,120.32,0.6,0.71,-10.58,0.04,0.78,0.12,0.15,0.45,,,,,
1782,24,312578,118.63,0.51,0.38,-12.32,0.03,0.78,0.28,0.15,0.14,,,,,
1788-L,26,217874,125.33,0.77,0.48,-4.17,0.15,0.21,0.04,0.29,0.18,,,,,
18 Carat Affair,25,94632,119.67,0.58,0.59,-12.7,0.08,0.84,0.32,0.18,0.53,,,,,
1910 Fruitgum Company,21,142338,126.17,0.73,0.75,-6.94,0.04,0,0.29,0.16,0.91,,,,,
1914,23,408011,111.27,0.91,0.34,-5.31,0.1,0.19,0,0.22,0.08,,,,,
1919,17,152693,146.9,0.95,0.46,-8.9,0.23,0.1,0.01,0.16,0.23,,,,,
1974 A.D,29,277564,147.36,0.4,0.59,-11.16,0.03,0,0.43,0.18,0.5,,,,,
1991,31,225249,164.89,0.88,0.47,-4.18,0.08,0.61,0.07,0.23,0.34,,,,,
1nonly,55,145131,121.14,0.64,0.73,-8.45,0.17,0.01,0.27,0.19,0.48,,,,,
2 Best Enemies,24,394490,149,0.81,0.63,-5.37,0.11,0.73,0.01,0.3,0.26,,,,,
2 Brothers On The 4th Floor,27,262506,137.24,0.87,0.65,-7.1,0.06,0.22,0.03,0.23,0.61,,,,,
2 Chainz,43,226260,131.51,0.65,0.78,-5.7,0.21,0.01,0.13,0.21,0.46,,,,6,6
2 Eivissa,28,224890,131.49,0.86,0.71,-5.54,0.05,0.06,0.03,0.16,0.84,,,,,
2 LIVE CREW,16,332027,123.12,0.69,0.95,-9.77,0.25,0.04,0,0.79,0.53,,,,,
2 Mello,28,180764,123.58,0.71,0.68,-7.47,0.09,0.48,0.23,0.17,0.68,,,,,
2 minutos,39,170092,119.4,0.96,0.42,-3.82,0.08,0.01,0.01,0.36,0.58,,,,,
2 Pistols,39,219680,118.45,0.7,0.63,-5.67,0.13,0,0.02,0.39,0.35,,,,,
2 Unlimited,31,279080,133.44,0.95,0.69,-6.99,0.11,0.13,0.01,0.14,0.62,,,,,
20 Watt Tombstone,21,241872,118.64,0.88,0.37,-7.68,0.08,0.16,0.01,0.24,0.27,,,,,
200 Stab Wounds,31,182503,99.02,0.95,0.26,-4.75,0.11,0.67,0,0.33,0.16,,,,,
2002,25,295083,97.58,0.21,0.2,-16.94,0.04,0.86,0.9,0.11,0.08,,,,,
20th Century Steel Band,27,313147,107.36,0.5,0.67,-12.91,0.06,0,0.04,0.08,0.56,,,,,
21 Hertz,22,271387,130.08,0.42,0.49,-11.71,0.03,0.01,0.01,0.14,0.11,,,,,
21 Savage,60,204878,135.18,0.54,0.81,-7.76,0.28,0.02,0.11,0.18,0.35,,,,6,
21:03,22,246715,108.69,0.68,0.53,-5.27,0.06,0,0.3,0.2,0.5,,,,,
220 KID,55,173325,123.55,0.79,0.62,-5.7,0.05,0,0.12,0.14,0.62,,,,,
22-20s,25,255847,110.89,0.78,0.42,-6.87,0.06,0.44,0.05,0.22,0.3,,,,,
23,55,140303,105.43,0.54,0.73,-9.54,0.22,0.03,0.29,0.2,0.58,,,,,
24 Carat Black,25,361907,114.83,0.45,0.49,-13,0.09,0.29,0.57,0.1,0.49,,,,,
24hrs,35,222470,130.9,0.7,0.77,-4.61,0.09,0.03,0.11,0.22,0.53,,,,,
24kGoldn,65,160393,132.24,0.7,0.7,-4.49,0.11,0,0.17,0.19,0.62,,,,,
24SJU,30,140915,110.78,0.6,0.84,-9.38,0.21,0,0.18,0.09,0.72,,,,,
2562,16,280453,131.99,0.66,0.8,-7.59,0.18,0.21,0,0.15,0.51,,,,,
27CLUB,34,153291,111.09,0.51,0.56,-8.9,0.07,0,0.13,0.09,0.41,,,,,
2Baba,26,253265,112.74,0.74,0.66,-5.34,0.2,0,0.27,0.18,0.75,,,,,
2CELLOS,51,241649,132.36,0.48,0.42,-8.95,0.06,0.61,0.49,0.33,0.42,,,,,
2econd Class Citizen,27,358691,117.52,0.63,0.55,-11.2,0.04,0.83,0.21,0.2,0.2,,,,,
2gaudy,44,165862,129.12,0.53,0.68,-9.85,0.16,0,0.19,0.1,0.44,,,,,
2nd Grade,23,111869,126.01,0.72,0.45,-7.36,0.04,0.21,0.09,0.24,0.67,,,,,
